num_constraints,constraints,question,seed_id
5,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month', 'non-stop flights only', 'returning in two weeks']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month and returning in two weeks, with non-stop flights only. Can you find that?",3
6,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month', 'non-stop flights only', 'returning in two weeks', 'economy class']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month and returning in two weeks. I prefer non-stop flights only and I’d like to fly economy class. Can you find that?",3
7,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month', 'non-stop flights only', 'returning in two weeks', 'economy class', 'leaving New York after 5 PM']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month after 5 PM and returning in two weeks. I prefer non-stop flights only and I’d like to fly economy class. Can you find that?",3
8,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month', 'non-stop flights only', 'returning in two weeks', 'economy class', 'leaving New York after 5 PM', 'prefer Delta airlines']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month after 5 PM and returning in two weeks. I prefer non-stop flights only and would like to fly economy class, preferably with Delta airlines. Can you find that?",3
3,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles']",I need a business class flight from Chicago to Sydney with a layover in Los Angeles. Can you find one?,4
4,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles', 'departing next week']",I need a business class flight from Chicago to Sydney with a layover in Los Angeles departing next week. Can you find one?,4
5,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles', 'departing next week', 'total flight time under 20 hours']","I need a business class flight from Chicago to Sydney with a layover in Los Angeles departing next week, and the total flight time should be under 20 hours. Can you find one?",4
6,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles', 'departing next week', 'total flight time under 20 hours', 'on an eco-friendly flight']","I need a business class flight from Chicago to Sydney with a layover in Los Angeles departing next week that is eco-friendly, and the total flight time should be under 20 hours. Can you find one?",4
7,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles', 'departing next week', 'total flight time under 20 hours', 'on an eco-friendly flight', 'preferably on United Airlines']","I need a business class flight from Chicago to Sydney with a layover in Los Angeles departing next week that is eco-friendly, and the total flight time should be under 20 hours, preferably on United Airlines. Can you find one?",4
8,"['business class', 'from Chicago to Sydney', 'with a layover in Los Angeles', 'departing next week', 'total flight time under 20 hours', 'on an eco-friendly flight', 'preferably on United Airlines', 'arriving in Sydney before 5 PM']","I need a business class flight from Chicago to Sydney with a layover in Los Angeles departing next week that is eco-friendly, the total flight time should be under 20 hours, preferably on United Airlines, and it should arrive in Sydney before 5 PM. Can you find one?",4
3,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday']",Can you find a flight from Miami to Seattle departing next Tuesday that's under $500?,5
4,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday', 'returning next Friday']",Can you find a round-trip flight from Miami to Seattle departing next Tuesday and returning next Friday for under $500?,5
5,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday', 'returning next Friday', 'non-stop flights only']",Can you find a non-stop round-trip flight from Miami to Seattle departing next Tuesday and returning next Friday for under $500?,5
6,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday', 'returning next Friday', 'non-stop flights only', 'in economy class']",Can you find an economy class non-stop round-trip flight from Miami to Seattle departing next Tuesday and returning next Friday for under $500?,5
7,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday', 'returning next Friday', 'non-stop flights only', 'in economy class', 'after 8 AM departure']",Can you find an economy class non-stop round-trip flight from Miami to Seattle departing next Tuesday and returning next Friday with a departure after 8 AM for under $500?,5
8,"['price under $500', 'from Miami to Seattle', 'departing next Tuesday', 'returning next Friday', 'non-stop flights only', 'in economy class', 'after 8 AM departure', 'with Delta Airlines']",Can you find an economy class non-stop round-trip flight on Delta Airlines from Miami to Seattle departing next Tuesday and returning next Friday with a departure after 8 AM for under $500?,5
3,"['eco-friendly', 'from Berlin to Madrid', 'round-trip']","Find an eco-friendly round-trip flight from Berlin to Madrid, please.",6
4,"['eco-friendly', 'from Berlin to Madrid', 'round-trip', 'departure next week']","Find an eco-friendly round-trip flight from Berlin to Madrid with departure next week, please.",6
5,"['eco-friendly', 'from Berlin to Madrid', 'round-trip', 'departure next week', 'cabin class economy']","Find an eco-friendly round-trip flight from Berlin to Madrid with departure next week in economy class, please.",6
6,"['eco-friendly', 'from Berlin to Madrid', 'round-trip', 'departure next week', 'cabin class economy', 'non-stop flights only']","Find an eco-friendly, non-stop round-trip flight from Berlin to Madrid with departure next week in economy class, please.",6
7,"['eco-friendly', 'from Berlin to Madrid', 'round-trip', 'departure next week', 'cabin class economy', 'non-stop flights only', 'under $300']","Find an eco-friendly, non-stop round-trip flight from Berlin to Madrid with departure next week in economy class under $300, please.",6
8,"['eco-friendly', 'from Berlin to Madrid', 'round-trip', 'departure next week', 'cabin class economy', 'non-stop flights only', 'under $300', 'return after 8 PM']","Find an eco-friendly, non-stop round-trip flight from Berlin to Madrid with departure next week in economy class under $300 and a return after 8 PM, please.",6
3,"['round-trip', 'Paris to Tokyo', 'returning two weeks later']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave.",7
4,"['round-trip', 'Paris to Tokyo', 'returning two weeks later', 'non-stop flights only']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave, and I prefer non-stop flights only.",7
5,"['round-trip', 'Paris to Tokyo', 'returning two weeks later', 'non-stop flights only', 'departing in the evening']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave, non-stop flights only, and preferably departing in the evening.",7
6,"['round-trip', 'Paris to Tokyo', 'returning two weeks later', 'non-stop flights only', 'departing in the evening', 'economy class']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave, non-stop flights only, preferably departing in the evening, and I want to book in economy class.",7
7,"['round-trip', 'Paris to Tokyo', 'returning two weeks later', 'non-stop flights only', 'departing in the evening', 'economy class', 'budget under 1000 USD']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave, with non-stop flights only, preferably departing in the evening, in economy class, and a budget under 1000 USD.",7
8,"['round-trip', 'Paris to Tokyo', 'returning two weeks later', 'non-stop flights only', 'departing in the evening', 'economy class', 'budget under 1000 USD', 'eco-friendly options']","I'm looking for a round-trip flight from Paris to Tokyo, coming back two weeks after I leave, with non-stop flights only, preferably departing in the evening, in economy class, a budget under 1000 USD, and considering eco-friendly options.",7
3,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend?",8
4,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend', 'economy class']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend in economy class?",8
5,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend', 'economy class', 'non-stop from Singapore']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend in economy class, and ensure that the flight from Singapore is non-stop?",8
6,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend', 'economy class', 'non-stop from Singapore', 'return in two weeks']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend in economy class, ensuring a non-stop from Singapore, and returning in two weeks?",8
7,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend', 'economy class', 'non-stop from Singapore', 'return in two weeks', 'depart between 8-10 AM']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend in economy class, ensuring a non-stop from Singapore, returning in two weeks, and departing between 8-10 AM?",8
8,"['multi-leg', 'London to Sydney via Singapore', 'departing next weekend', 'economy class', 'non-stop from Singapore', 'return in two weeks', 'depart between 8-10 AM', 'budget under $1000']","Could you help me find a multi-leg flight from London to Sydney with a stop in Singapore, leaving next weekend in economy class, ensuring a non-stop from Singapore, returning in two weeks, departing between 8-10 AM, and with a budget under $1000?",8
3,"['one-way', 'San Francisco to Amsterdam', 'business class']",Can you search for a one-way business class flight from San Francisco to Amsterdam?,9
4,"['one-way', 'San Francisco to Amsterdam', 'business class', 'non-stop flights only']",Can you search for a one-way business class flight from San Francisco to Amsterdam that is non-stop?,9
5,"['one-way', 'San Francisco to Amsterdam', 'business class', 'non-stop flights only', 'departure after 8 PM']",Can you search for a one-way non-stop business class flight from San Francisco to Amsterdam departing after 8 PM?,9
6,"['one-way', 'San Francisco to Amsterdam', 'business class', 'non-stop flights only', 'departure after 8 PM', 'within budget of $2000']",Can you search for a one-way non-stop business class flight from San Francisco to Amsterdam departing after 8 PM with a budget under $2000?,9
7,"['one-way', 'San Francisco to Amsterdam', 'business class', 'non-stop flights only', 'departure after 8 PM', 'within budget of $2000', 'eco-friendly options prioritized']","Can you find a one-way non-stop business class flight from San Francisco to Amsterdam that departs after 8 PM, is under $2000, and prioritizes eco-friendly options?",9
8,"['one-way', 'San Francisco to Amsterdam', 'business class', 'non-stop flights only', 'departure after 8 PM', 'within budget of $2000', 'eco-friendly options prioritized', 'operated by KLM or Delta Airlines']","Can you find a one-way non-stop business class flight from San Francisco to Amsterdam that departs after 8 PM, is under $2000, prioritizes eco-friendly options, and is operated by KLM or Delta Airlines?",9
3,"['round-trip', 'Los Angeles to New York', 'non-stop']",Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops?,10
4,"['round-trip', 'Los Angeles to New York', 'non-stop', 'depart after 6 PM']",Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops and departs after 6 PM?,10
5,"['round-trip', 'Los Angeles to New York', 'non-stop', 'depart after 6 PM', 'return next week']","Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops and departs after 6 PM, returning next week?",10
6,"['round-trip', 'Los Angeles to New York', 'non-stop', 'depart after 6 PM', 'return next week', 'economy class']","Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops, departs after 6 PM, returning next week in economy class?",10
7,"['round-trip', 'Los Angeles to New York', 'non-stop', 'depart after 6 PM', 'return next week', 'economy class', 'budget limit $400']","Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops, departs after 6 PM, returning next week in economy class with a budget limit of $400?",10
8,"['round-trip', 'Los Angeles to New York', 'non-stop', 'depart after 6 PM', 'return next week', 'economy class', 'budget limit $400', 'prefer eco-friendly options']","Can you get me a round-trip flight from Los Angeles to New York that doesn't have any stops, departs after 6 PM, returning next week in economy class with a budget limit of $400, and I prefer eco-friendly options?",10
3,"['one-way', 'Miami to Cancun', 'departing tomorrow']",I need a one-way flight from Miami to Cancun leaving tomorrow. Can you find that?,11
4,"['one-way', 'Miami to Cancun', 'departing tomorrow', 'early morning departure']",I need a one-way flight from Miami to Cancun leaving tomorrow with an early morning departure. Can you find that?,11
5,"['one-way', 'Miami to Cancun', 'departing tomorrow', 'early morning departure', 'economy class']",I need a one-way economy class flight from Miami to Cancun leaving tomorrow with an early morning departure. Can you find that?,11
6,"['one-way', 'Miami to Cancun', 'departing tomorrow', 'early morning departure', 'economy class', 'non-stop']","I need a one-way, non-stop economy class flight from Miami to Cancun leaving tomorrow with an early morning departure. Can you find that?",11
7,"['one-way', 'Miami to Cancun', 'departing tomorrow', 'early morning departure', 'economy class', 'non-stop', 'budget under $300']","I need a one-way, non-stop economy class flight from Miami to Cancun leaving tomorrow with an early morning departure, and I prefer it to be under $300. Can you find that?",11
8,"['one-way', 'Miami to Cancun', 'departing tomorrow', 'early morning departure', 'economy class', 'non-stop', 'budget under $300', 'preferred airline: Delta']","I need a one-way, non-stop economy class flight from Miami to Cancun leaving tomorrow with an early morning departure, and I prefer it to be under $300 with Delta Airlines. Can you find that?",11
3,"['round-trip', 'Chicago to Dubai', 'next month']",I'd like to find a round-trip ticket from Chicago to Dubai sometime next month.,12
4,"['round-trip', 'Chicago to Dubai', 'next month', 'economy class']","I'd like to find a round-trip ticket from Chicago to Dubai next month, traveling in economy class.",12
5,"['round-trip', 'Chicago to Dubai', 'next month', 'economy class', 'non-stop flights only']","I'd like to find a round-trip ticket from Chicago to Dubai next month, traveling in economy class, with non-stop flights only.",12
6,"['round-trip', 'Chicago to Dubai', 'next month', 'economy class', 'non-stop flights only', 'departure time after 8 AM']","I'd like to find a round-trip ticket from Chicago to Dubai next month, traveling in economy class, with non-stop flights only, departing after 8 AM.",12
7,"['round-trip', 'Chicago to Dubai', 'next month', 'economy class', 'non-stop flights only', 'departure time after 8 AM', 'return within two weeks']","I'd like to find a round-trip ticket from Chicago to Dubai next month, traveling in economy class, with non-stop flights only, departing after 8 AM, and returning within two weeks.",12
8,"['round-trip', 'Chicago to Dubai', 'next month', 'economy class', 'non-stop flights only', 'departure time after 8 AM', 'return within two weeks', 'preferred airline: Emirates']","I'd like to find a round-trip ticket from Chicago to Dubai next month, traveling in economy class, with non-stop flights only, departing after 8 AM, returning within two weeks, and preferably flying with Emirates.",12
3,"['eco-friendly', 'Seattle to Boston', 'departing in the evening']",Please search for an eco-friendly flight from Seattle to Boston that departs in the evening.,13
4,"['eco-friendly', 'Seattle to Boston', 'departing in the evening', 'round-trip with return next month']",Please search for an eco-friendly round-trip flight from Seattle to Boston that departs in the evening and returns next month.,13
5,"['eco-friendly', 'Seattle to Boston', 'departing in the evening', 'round-trip with return next month', 'non-stop']","Please search for an eco-friendly, non-stop, round-trip flight from Seattle to Boston that departs in the evening and returns next month.",13
6,"['eco-friendly', 'Seattle to Boston', 'departing in the evening', 'round-trip with return next month', 'non-stop', 'economy class']","Please search for an eco-friendly, non-stop, economy class, round-trip flight from Seattle to Boston that departs in the evening and returns next month.",13
7,"['eco-friendly', 'Seattle to Boston', 'departing in the evening', 'round-trip with return next month', 'non-stop', 'economy class', 'under $500']","Please search for an eco-friendly, non-stop, economy class, round-trip flight from Seattle to Boston that departs in the evening, returns next month, and is under $500.",13
8,"['eco-friendly', 'Seattle to Boston', 'departing in the evening', 'round-trip with return next month', 'non-stop', 'economy class', 'under $500', 'operated by Delta Airlines']","Please search for an eco-friendly, non-stop, economy class, round-trip flight from Seattle to Boston that departs in the evening, returns next month, is under $500, and is operated by Delta Airlines.",13
3,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks']",Could you search for a round-trip flight from San Francisco to Tokyo departing in two weeks?,14
4,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks', 'economy class']",Could you search for a round-trip flight from San Francisco to Tokyo departing in two weeks in economy class?,14
5,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks', 'economy class', 'non-stop flights only']","Could you search for a round-trip flight from San Francisco to Tokyo departing in two weeks in economy class, preferably non-stop flights only?",14
6,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks', 'economy class', 'non-stop flights only', 'returning after one week']","Could you search for a round-trip flight from San Francisco to Tokyo, departing in two weeks and returning after one week, in economy class, non-stop flights only?",14
7,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks', 'economy class', 'non-stop flights only', 'returning after one week', 'with a budget under $1000']","Could you search for a round-trip flight from San Francisco to Tokyo, departing in two weeks and returning after one week, in economy class, non-stop flights only, with a budget under $1000?",14
8,"['round-trip', 'San Francisco to Tokyo', 'departing in two weeks', 'economy class', 'non-stop flights only', 'returning after one week', 'with a budget under $1000', 'preferably using Japan Airlines']","Could you search for a round-trip flight from San Francisco to Tokyo, departing in two weeks and returning after one week, in economy class, non-stop flights only, with a budget under $1000, preferably using Japan Airlines?",14
3,"['economy class', 'Paris to New York', 'non-stop flight']","I'd like to find an economy class, non-stop flight from Paris to New York.",15
4,"['economy class', 'Paris to New York', 'non-stop flight', 'departure next month']","I'd like to find an economy class, non-stop flight from Paris to New York departing next month.",15
5,"['economy class', 'Paris to New York', 'non-stop flight', 'departure next month', 'morning departure']","I'd like to find an economy class, non-stop flight from Paris to New York departing next month in the morning.",15
6,"['economy class', 'Paris to New York', 'non-stop flight', 'departure next month', 'morning departure', 'maximum budget of $500']","I'd like to find an economy class, non-stop flight from Paris to New York departing next month in the morning, with a maximum budget of $500.",15
7,"['economy class', 'Paris to New York', 'non-stop flight', 'departure next month', 'morning departure', 'maximum budget of $500', 'Air France preferred']","I'd like to find an economy class, non-stop flight from Paris to New York departing next month in the morning, with a maximum budget of $500, preferably on Air France.",15
8,"['economy class', 'Paris to New York', 'non-stop flight', 'departure next month', 'morning departure', 'maximum budget of $500', 'Air France preferred', 'eco-friendly flight option']","I'd like to find an economy class, non-stop flight from Paris to New York departing next month in the morning, with a maximum budget of $500, preferably on Air France, and an eco-friendly flight option.",15
3,"['one-way', 'Los Angeles to Sydney', 'cheapest option']",What's the cheapest one-way flight from Los Angeles to Sydney?,16
4,"['one-way', 'Los Angeles to Sydney', 'cheapest option', 'departing after 6 PM']",What's the cheapest one-way flight from Los Angeles to Sydney departing after 6 PM?,16
5,"['one-way', 'Los Angeles to Sydney', 'cheapest option', 'departing after 6 PM', 'economy class']",What's the cheapest one-way flight in economy class from Los Angeles to Sydney departing after 6 PM?,16
6,"['one-way', 'Los Angeles to Sydney', 'cheapest option', 'departing after 6 PM', 'economy class', 'non-stop']",What's the cheapest non-stop one-way flight in economy class from Los Angeles to Sydney departing after 6 PM?,16
7,"['one-way', 'Los Angeles to Sydney', 'cheapest option', 'departing after 6 PM', 'economy class', 'non-stop', 'eco-friendly option']","What's the cheapest non-stop, eco-friendly one-way flight in economy class from Los Angeles to Sydney departing after 6 PM?",16
8,"['one-way', 'Los Angeles to Sydney', 'cheapest option', 'departing after 6 PM', 'economy class', 'non-stop', 'eco-friendly option', 'using a specific airline']","What's the cheapest non-stop, eco-friendly one-way flight in economy class from Los Angeles to Sydney departing after 6 PM on a specific airline?",16
3,"['multi-city', 'New York to Rome, then to Athens', 'next month']","Can you find a multi-city flight visiting New York, Rome, and Athens next month?",17
4,"['multi-city', 'New York to Rome, then to Athens', 'next month', 'economy class']","Can you find an economy class multi-city flight visiting New York, Rome, and Athens next month?",17
5,"['multi-city', 'New York to Rome, then to Athens', 'next month', 'economy class', 'depart after 8 PM']","Can you find an economy class multi-city flight visiting New York, Rome, and Athens next month, departing after 8 PM?",17
6,"['multi-city', 'New York to Rome, then to Athens', 'next month', 'economy class', 'depart after 8 PM', 'total flight time under 20 hours']","Can you find an economy class multi-city flight visiting New York, Rome, and Athens next month, departing after 8 PM, with a total flight time under 20 hours?",17
7,"['multi-city', 'New York to Rome, then to Athens', 'next month', 'economy class', 'depart after 8 PM', 'total flight time under 20 hours', 'non-stop between New York and Rome']","Can you find an economy class multi-city flight visiting New York, Rome, and Athens next month, departing after 8 PM, with a total flight time under 20 hours and a non-stop flight between New York and Rome?",17
8,"['multi-city', 'New York to Rome, then to Athens', 'next month', 'economy class', 'depart after 8 PM', 'total flight time under 20 hours', 'non-stop between New York and Rome', 'lowest CO2 emissions possible']","Can you find an economy class multi-city flight visiting New York, Rome, and Athens next month, departing after 8 PM, with a total flight time under 20 hours, a non-stop flight between New York and Rome, and the lowest CO2 emissions possible?",17
3,"['business class', 'Chicago to London', 'afternoon departure']",Find me a business class flight from Chicago to London that departs in the afternoon.,18
4,"['business class', 'Chicago to London', 'afternoon departure', 'non-stop flights only']",Find me a business class flight from Chicago to London that departs in the afternoon and is non-stop.,18
5,"['business class', 'Chicago to London', 'afternoon departure', 'non-stop flights only', 'within the next two weeks']","Find me a business class flight from Chicago to London that departs in the afternoon, is non-stop, and is within the next two weeks.",18
6,"['business class', 'Chicago to London', 'afternoon departure', 'non-stop flights only', 'within the next two weeks', 'under $3000']","Find me a business class flight from Chicago to London that departs in the afternoon, is non-stop, is within the next two weeks, and costs under $3000.",18
7,"['business class', 'Chicago to London', 'afternoon departure', 'non-stop flights only', 'within the next two weeks', 'under $3000', 'departure after 3 PM']","Find me a business class flight from Chicago to London that departs non-stop in the afternoon, after 3 PM, is within the next two weeks, and costs under $3000.",18
8,"['business class', 'Chicago to London', 'afternoon departure', 'non-stop flights only', 'within the next two weeks', 'under $3000', 'departure after 3 PM', 'prefer American Airlines']","Find me a business class flight from Chicago to London that departs non-stop in the afternoon, after 3 PM, is within the next two weeks, costs under $3000, and preferably with American Airlines.",18
3,"['eco-friendly', 'Berlin to Madrid', 'round-trip']",I'm looking for an eco-friendly round-trip flight from Berlin to Madrid.,19
4,"['eco-friendly', 'Berlin to Madrid', 'round-trip', 'departure: next week']","I'm looking for an eco-friendly round-trip flight from Berlin to Madrid, departing next week.",19
5,"['eco-friendly', 'Berlin to Madrid', 'round-trip', 'departure: next week', 'non-stop']","I'm looking for an eco-friendly round-trip non-stop flight from Berlin to Madrid, departing next week.",19
6,"['eco-friendly', 'Berlin to Madrid', 'round-trip', 'departure: next week', 'non-stop', 'economy class']","I'm looking for an eco-friendly economy class round-trip non-stop flight from Berlin to Madrid, departing next week.",19
7,"['eco-friendly', 'Berlin to Madrid', 'round-trip', 'departure: next week', 'non-stop', 'economy class', 'budget: under 300 euros']","I'm looking for an eco-friendly economy class round-trip non-stop flight from Berlin to Madrid, departing next week, with a budget under 300 euros.",19
8,"['eco-friendly', 'Berlin to Madrid', 'round-trip', 'departure: next week', 'non-stop', 'economy class', 'budget: under 300 euros', 'departure time: after 8 PM']","I'm looking for an eco-friendly economy class round-trip non-stop flight from Berlin to Madrid, departing next week, with a budget under 300 euros and leaving after 8 PM.",19
3,"['one-stop', 'Miami to Buenos Aires', 'overnight flight']","Can you find a one-stop, overnight flight from Miami to Buenos Aires?",20
4,"['one-stop', 'Miami to Buenos Aires', 'overnight flight', 'round-trip']","Can you find a one-stop, overnight, round-trip flight from Miami to Buenos Aires?",20
5,"['one-stop', 'Miami to Buenos Aires', 'overnight flight', 'round-trip', 'departing next weekend']","Can you find a one-stop, overnight, round-trip flight from Miami to Buenos Aires departing next weekend?",20
6,"['one-stop', 'Miami to Buenos Aires', 'overnight flight', 'round-trip', 'departing next weekend', 'economy class']","Can you find a one-stop, overnight, round-trip flight in economy class from Miami to Buenos Aires departing next weekend?",20
7,"['one-stop', 'Miami to Buenos Aires', 'overnight flight', 'round-trip', 'departing next weekend', 'economy class', 'departure between 8-10 PM']","Can you find a one-stop, overnight, round-trip flight in economy class from Miami to Buenos Aires departing next weekend between 8-10 PM?",20
8,"['one-stop', 'Miami to Buenos Aires', 'overnight flight', 'round-trip', 'departing next weekend', 'economy class', 'departure between 8-10 PM', 'preferably American Airlines']","Can you find a one-stop, overnight, round-trip flight in economy class from Miami to Buenos Aires departing next weekend between 8-10 PM, preferably with American Airlines?",20
