Question,Answer
((-5 + 8 + 1 - -9) - (4 * 3 - -6 - -9)) =,-14
((8 * 4 * 5 + 3) - (-6 - -8 * 2 + -9)) =,162
((-10 * 1 + -9 * 9) - (1 - 10 * 10 - -3)) =,5
((1 - -7 - -2 + -6) - (-9 * 2 - -2 + 2)) =,18
((-4 - 7 - -10 + 1) - (-8 - 4 + 9 * -10)) =,102
((-1 + 4 + 2 + -6) - (9 - -2 - 6 - 8)) =,2
((4 - -6 + -6 * 3) - (7 + -7 + -1 - 7)) =,0
((10 + 1 + -6 * -6) - (3 * -9 * 10 - -9)) =,308
((-9 - -9 + -2 + 5) - (3 + -1 - -6 * -10)) =,61
((10 * -2 * 9 + -9) - (1 + 6 * -1 * 9)) =,-136
((-3 - 1 - -8 + 1) - (9 + -9 - 5 - 8)) =,18
((-6 * -3 - 1 + -1) - (-10 - 8 - -10 * -8)) =,114
((-6 - -3 * 7 * 10) - (5 - -2 * -7 * -8)) =,87
((6 + -2 + -5 - -9) - (8 - -9 + 8 + 5)) =,-22
((1 + 1 - 4 - 2) - (4 * -8 * -3 * -6)) =,572
((1 * -6 - 10 + 1) - (-7 + 8 - -9 - -3)) =,-28
((5 + -3 * -8 + 4) - (1 - -9 - -4 + 1)) =,18
((-8 - -5 + 7 - -7) - (-3 * 2 * 4 * 7)) =,179
((-2 * -6 - 10 + -8) - (4 + -3 * -10 - -4)) =,-44
((-10 + -4 * -4 * 10) - (6 - 9 * 7 + 1)) =,206
((-1 * -8 * -10 * -2) - (6 * 2 + -10 * 9)) =,238
((-2 - -10 + -4 + 6) - (10 * -1 + -6 * -3)) =,2
((-2 + 3 - -7 + 1) - (8 - -1 + 1 + -8)) =,7
((-7 - -5 - -10 * 9) - (-6 - 3 + 5 + -10)) =,102
((-9 * 8 + -8 + 7) - (-1 * 5 * 9 + -3)) =,-25
((5 - 4 - 5 * -7) - (-1 * -8 + 2 * -4)) =,36
((-1 + -2 + -10 + 4) - (9 * -3 + -8 * -7)) =,-38
