Question,Answer
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a convertible, a motorcyle, and a truck. The motorcyle is newer than the convertible. The convertible is newer than the truck.
Options:
(A) The convertible is the oldest
(B) The motorcyle is the oldest
(C) The truck is the oldest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: apples, peaches, and mangoes. The mangoes are less expensive than the peaches. The apples are less expensive than the mangoes.
Options:
(A) The apples are the cheapest
(B) The peaches are the cheapest
(C) The mangoes are the cheapest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Eve, Joe, and Amy. Eve finished below Amy. Eve finished above Joe.
Options:
(A) Eve finished first
(B) Joe finished first
(C) Amy finished first",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Eli, Mya, and Eve. Eve finished below Eli. Eve finished above Mya.
Options:
(A) Eli finished second
(B) Mya finished second
(C) Eve finished second",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: peaches, pears, and mangoes. The mangoes are less expensive than the peaches. The mangoes are more expensive than the pears.
Options:
(A) The peaches are the most expensive
(B) The pears are the most expensive
(C) The mangoes are the most expensive",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a hatchback, a convertible, and a tractor. The convertible is older than the tractor. The hatchback is the second-newest.
Options:
(A) The hatchback is the oldest
(B) The convertible is the oldest
(C) The tractor is the oldest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a hummingbird, a blue jay, and a raven. The blue jay is to the right of the hummingbird. The raven is the second from the left.
Options:
(A) The hummingbird is the rightmost
(B) The blue jay is the rightmost
(C) The raven is the rightmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a purple book, a red book, and a yellow book. The purple book is to the right of the yellow book. The yellow book is to the right of the red book.
Options:
(A) The purple book is the rightmost
(B) The red book is the rightmost
(C) The yellow book is the rightmost",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: watermelons, apples, and mangoes. The apples are less expensive than the mangoes. The mangoes are less expensive than the watermelons.
Options:
(A) The watermelons are the second-most expensive
(B) The apples are the second-most expensive
(C) The mangoes are the second-most expensive",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Amy, Dan, and Mel. Mel finished above Amy. Dan finished below Amy.
Options:
(A) Amy finished first
(B) Dan finished first
(C) Mel finished first",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a motorcyle, a bus, and a tractor. The motorcyle is the oldest. The bus is newer than the tractor.
Options:
(A) The motorcyle is the second-newest
(B) The bus is the second-newest
(C) The tractor is the second-newest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a red book, a blue book, and an orange book. The red book is to the left of the orange book. The orange book is the second from the left.
Options:
(A) The red book is the second from the left
(B) The blue book is the second from the left
(C) The orange book is the second from the left",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a motorcyle, a minivan, and a tractor. The minivan is older than the tractor. The minivan is the second-newest.
Options:
(A) The motorcyle is the newest
(B) The minivan is the newest
(C) The tractor is the newest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a bus, a sedan, and a truck. The truck is older than the bus. The bus is older than the sedan.
Options:
(A) The bus is the second-newest
(B) The sedan is the second-newest
(C) The truck is the second-newest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: loquats, mangoes, and apples. The mangoes are more expensive than the apples. The loquats are more expensive than the mangoes.
Options:
(A) The loquats are the most expensive
(B) The mangoes are the most expensive
(C) The apples are the most expensive",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a blue jay, a quail, and a falcon. The falcon is to the right of the blue jay. The blue jay is to the right of the quail.
Options:
(A) The blue jay is the rightmost
(B) The quail is the rightmost
(C) The falcon is the rightmost",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a hawk, a crow, and a raven. The raven is to the right of the hawk. The crow is the rightmost.
Options:
(A) The hawk is the second from the left
(B) The crow is the second from the left
(C) The raven is the second from the left",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a brown book, a yellow book, and an orange book. The yellow book is the leftmost. The orange book is to the right of the brown book.
Options:
(A) The brown book is the leftmost
(B) The yellow book is the leftmost
(C) The orange book is the leftmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: loquats, mangoes, and apples. The mangoes are more expensive than the apples. The loquats are more expensive than the mangoes.
Options:
(A) The loquats are the second-most expensive
(B) The mangoes are the second-most expensive
(C) The apples are the second-most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: cantaloupes, oranges, and watermelons. The oranges are the most expensive. The cantaloupes are more expensive than the watermelons.
Options:
(A) The cantaloupes are the cheapest
(B) The oranges are the cheapest
(C) The watermelons are the cheapest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: apples, peaches, and loquats. The loquats are less expensive than the apples. The peaches are more expensive than the apples.
Options:
(A) The apples are the most expensive
(B) The peaches are the most expensive
(C) The loquats are the most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: an owl, a crow, and a cardinal. The crow is to the left of the owl. The owl is the second from the left.
Options:
(A) The owl is the second from the left
(B) The crow is the second from the left
(C) The cardinal is the second from the left",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: oranges, mangoes, and plums. The plums are less expensive than the mangoes. The oranges are less expensive than the plums.
Options:
(A) The oranges are the second-most expensive
(B) The mangoes are the second-most expensive
(C) The plums are the second-most expensive",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a quail, an owl, and a hummingbird. The quail is to the left of the owl. The owl is to the left of the hummingbird.
Options:
(A) The quail is the second from the left
(B) The owl is the second from the left
(C) The hummingbird is the second from the left",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: oranges, watermelons, and pears. The oranges are the second-most expensive. The pears are more expensive than the watermelons.
Options:
(A) The oranges are the most expensive
(B) The watermelons are the most expensive
(C) The pears are the most expensive",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Ana, Mel, and Ada. Ada finished above Ana. Mel finished below Ana.
Options:
(A) Ana finished first
(B) Mel finished first
(C) Ada finished first",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a sedan, a tractor, and a bus. The sedan is older than the tractor. The bus is older than the sedan.
Options:
(A) The sedan is the second-newest
(B) The tractor is the second-newest
(C) The bus is the second-newest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a green book, a brown book, and an orange book. The brown book is to the left of the orange book. The green book is to the left of the brown book.
Options:
(A) The green book is the second from the left
(B) The brown book is the second from the left
(C) The orange book is the second from the left",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: an orange book, a blue book, and a yellow book. The orange book is to the left of the blue book. The yellow book is to the right of the blue book.
Options:
(A) The orange book is the leftmost
(B) The blue book is the leftmost
(C) The yellow book is the leftmost",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: oranges, mangoes, and plums. The plums are less expensive than the mangoes. The oranges are less expensive than the plums.
Options:
(A) The oranges are the cheapest
(B) The mangoes are the cheapest
(C) The plums are the cheapest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a gray book, a purple book, and a red book. The purple book is to the left of the red book. The gray book is to the left of the purple book.
Options:
(A) The gray book is the rightmost
(B) The purple book is the rightmost
(C) The red book is the rightmost",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a motorcyle, a minivan, and a tractor. The minivan is older than the tractor. The minivan is the second-newest.
Options:
(A) The motorcyle is the oldest
(B) The minivan is the oldest
(C) The tractor is the oldest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a blue jay, a cardinal, and a quail. The cardinal is to the right of the quail. The quail is to the right of the blue jay.
Options:
(A) The blue jay is the rightmost
(B) The cardinal is the rightmost
(C) The quail is the rightmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Amy, Eli, and Eve. Eve finished above Amy. Eli finished below Amy.
Options:
(A) Amy finished second
(B) Eli finished second
(C) Eve finished second",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Joe, Dan, and Eve. Eve finished above Dan. Dan finished above Joe.
Options:
(A) Joe finished first
(B) Dan finished first
(C) Eve finished first",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a blue jay, a quail, and a falcon. The falcon is to the right of the blue jay. The blue jay is to the right of the quail.
Options:
(A) The blue jay is the leftmost
(B) The quail is the leftmost
(C) The falcon is the leftmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: watermelons, apples, and mangoes. The apples are less expensive than the mangoes. The mangoes are less expensive than the watermelons.
Options:
(A) The watermelons are the cheapest
(B) The apples are the cheapest
(C) The mangoes are the cheapest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a motorcyle, a bus, and a tractor. The motorcyle is the oldest. The bus is newer than the tractor.
Options:
(A) The motorcyle is the newest
(B) The bus is the newest
(C) The tractor is the newest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a motorcyle, a minivan, and a tractor. The minivan is older than the tractor. The minivan is the second-newest.
Options:
(A) The motorcyle is the second-newest
(B) The minivan is the second-newest
(C) The tractor is the second-newest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: plums, apples, and loquats. The loquats are the cheapest. The plums are less expensive than the apples.
Options:
(A) The plums are the most expensive
(B) The apples are the most expensive
(C) The loquats are the most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a gray book, an orange book, and a brown book. The orange book is the leftmost. The gray book is to the right of the brown book.
Options:
(A) The gray book is the second from the left
(B) The orange book is the second from the left
(C) The brown book is the second from the left",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: pears, plums, and kiwis. The pears are less expensive than the plums. The kiwis are less expensive than the pears.
Options:
(A) The pears are the second-most expensive
(B) The plums are the second-most expensive
(C) The kiwis are the second-most expensive",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a convertible, a tractor, and a hatchback. The hatchback is older than the convertible. The tractor is the newest.
Options:
(A) The convertible is the newest
(B) The tractor is the newest
(C) The hatchback is the newest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a tractor, a convertible, and a minivan. The tractor is the second-newest. The minivan is newer than the convertible.
Options:
(A) The tractor is the second-newest
(B) The convertible is the second-newest
(C) The minivan is the second-newest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a tractor, a station wagon, and a limousine. The tractor is newer than the limousine. The station wagon is the newest.
Options:
(A) The tractor is the oldest
(B) The station wagon is the oldest
(C) The limousine is the oldest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Eli, Mya, and Eve. Eve finished below Eli. Eve finished above Mya.
Options:
(A) Eli finished first
(B) Mya finished first
(C) Eve finished first",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a cardinal, a hawk, and a hummingbird. The hummingbird is to the right of the hawk. The cardinal is to the left of the hawk.
Options:
(A) The cardinal is the rightmost
(B) The hawk is the rightmost
(C) The hummingbird is the rightmost",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a sedan, a tractor, and a bus. The sedan is older than the tractor. The bus is older than the sedan.
Options:
(A) The sedan is the newest
(B) The tractor is the newest
(C) The bus is the newest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a blue book, an orange book, and a green book. The green book is the leftmost. The orange book is to the left of the blue book.
Options:
(A) The blue book is the leftmost
(B) The orange book is the leftmost
(C) The green book is the leftmost",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Joe, Eve, and Amy. Amy finished above Eve. Joe finished first.
Options:
(A) Joe finished last
(B) Eve finished last
(C) Amy finished last",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: kiwis, loquats, and cantaloupes. The kiwis are less expensive than the loquats. The cantaloupes are less expensive than the kiwis.
Options:
(A) The kiwis are the most expensive
(B) The loquats are the most expensive
(C) The cantaloupes are the most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: kiwis, loquats, and cantaloupes. The kiwis are less expensive than the loquats. The cantaloupes are less expensive than the kiwis.
Options:
(A) The kiwis are the second-most expensive
(B) The loquats are the second-most expensive
(C) The cantaloupes are the second-most expensive",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a station wagon, a minivan, and a truck. The minivan is newer than the truck. The station wagon is newer than the minivan.
Options:
(A) The station wagon is the oldest
(B) The minivan is the oldest
(C) The truck is the oldest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a white book, a black book, and a purple book. The black book is to the left of the purple book. The purple book is to the left of the white book.
Options:
(A) The white book is the leftmost
(B) The black book is the leftmost
(C) The purple book is the leftmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Eli, Mya, and Eve. Eve finished below Eli. Eve finished above Mya.
Options:
(A) Eli finished last
(B) Mya finished last
(C) Eve finished last",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a quail, an owl, and a hummingbird. The quail is to the left of the owl. The owl is to the left of the hummingbird.
Options:
(A) The quail is the leftmost
(B) The owl is the leftmost
(C) The hummingbird is the leftmost",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: apples, pears, and plums. The pears are less expensive than the plums. The pears are more expensive than the apples.
Options:
(A) The apples are the cheapest
(B) The pears are the cheapest
(C) The plums are the cheapest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Ada, Mel, and Mya. Mya finished below Ada. Mel finished above Ada.
Options:
(A) Ada finished first
(B) Mel finished first
(C) Mya finished first",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: cantaloupes, watermelons, and mangoes. The mangoes are the cheapest. The cantaloupes are the second-most expensive.
Options:
(A) The cantaloupes are the cheapest
(B) The watermelons are the cheapest
(C) The mangoes are the cheapest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Amy, Ana, and Joe. Amy finished below Ana. Ana finished below Joe.
Options:
(A) Amy finished second
(B) Ana finished second
(C) Joe finished second",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Ada, Mel, and Mya. Mya finished below Ada. Mel finished above Ada.
Options:
(A) Ada finished second
(B) Mel finished second
(C) Mya finished second",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a convertible, a motorcyle, and a truck. The motorcyle is newer than the convertible. The convertible is newer than the truck.
Options:
(A) The convertible is the newest
(B) The motorcyle is the newest
(C) The truck is the newest",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Ana, Dan, and Mel. Dan finished second. Mel finished first.
Options:
(A) Ana finished second
(B) Dan finished second
(C) Mel finished second",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a convertible, a limousine, and a bus. The limousine is older than the bus. The bus is older than the convertible.
Options:
(A) The convertible is the newest
(B) The limousine is the newest
(C) The bus is the newest",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: a green book, a red book, and a blue book. The red book is the rightmost. The blue book is to the right of the green book.
Options:
(A) The green book is the second from the left
(B) The red book is the second from the left
(C) The blue book is the second from the left",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: peaches, pears, and mangoes. The mangoes are less expensive than the pears. The peaches are the cheapest.
Options:
(A) The peaches are the most expensive
(B) The pears are the most expensive
(C) The mangoes are the most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: loquats, watermelons, and cantaloupes. The watermelons are the second-most expensive. The loquats are more expensive than the cantaloupes.
Options:
(A) The loquats are the cheapest
(B) The watermelons are the cheapest
(C) The cantaloupes are the cheapest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a robin, an owl, and a hawk. The robin is to the right of the hawk. The owl is the leftmost.
Options:
(A) The robin is the leftmost
(B) The owl is the leftmost
(C) The hawk is the leftmost",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Eli, Mya, and Eve. Eli finished last. Mya finished second.
Options:
(A) Eli finished first
(B) Mya finished first
(C) Eve finished first",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells three fruits: oranges, mangoes, and plums. The plums are less expensive than the mangoes. The oranges are less expensive than the plums.
Options:
(A) The oranges are the most expensive
(B) The mangoes are the most expensive
(C) The plums are the most expensive",(B)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are three vehicles: a sedan, a tractor, and a bus. The sedan is older than the tractor. The bus is older than the sedan.
Options:
(A) The sedan is the oldest
(B) The tractor is the oldest
(C) The bus is the oldest",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are three birds: a hummingbird, a blue jay, and a raven. The blue jay is to the right of the hummingbird. The raven is the second from the left.
Options:
(A) The hummingbird is the second from the left
(B) The blue jay is the second from the left
(C) The raven is the second from the left",(C)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are three books: an orange book, a white book, and a purple book. The orange book is to the left of the white book. The purple book is the rightmost.
Options:
(A) The orange book is the leftmost
(B) The white book is the leftmost
(C) The purple book is the leftmost",(A)
"The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were three golfers: Amy, Eli, and Eve. Eve finished above Amy. Eli finished below Amy.
Options:
(A) Amy finished first
(B) Eli finished first
(C) Eve finished first",(C)
